gender,transgender,sexual_orientation,neurodivergent,birth_parent1,birth_parent2,birth_you,birth_you_age,autonomy_pressure,autonomy_express,autonomy_decide,autonomy_told,autonomy_myself,autonomy_choice,life_satisfaction,optimism_future,optimism_best,optimism_good,optimism_work,wellbeing_optimistic,wellbeing_useful,wellbeing_relaxed,wellbeing_problems,wellbeing_thinking,wellbeing_close,wellbeing_mind,esteem_satisfied,esteem_qualities,esteem_well,esteem_value,esteem_good,stress_control,stress_overcome,stress_confident,stress_way,appearance_happy,appearance_feel,negative_lonely,negative_unhappy,negative_like,negative_cry,negative_school,negative_worry,negative_sleep,negative_wake,negative_shy,negative_scared,lonely,support_ways,support_look,sleep,physical_days,physical_hours,free_like,media_hours,media_interact,media_browse,media_total,places_freq,places_barriers___1,places_barriers___2,places_barriers___3,places_barriers___4,places_barriers___5,places_barriers___6,places_barriers___7,places_barriers___8,places_barriers___9,school_belong,staff_interest,staff_believe,staff_best,staff_listen,staff_talk,staff_talk_listen,staff_talk_helpful,staff_talk_if,accept_staff,home_interest,home_believe,home_best,home_listen,home_talk,home_talk_listen,home_talk_helpful,home_talk_if,accept_home,home_happy,young_carer,care_experience,local_safe,local_support,local_trust,local_neighbours,local_places,discrim_race,discrim_gender,discrim_orientation,discrim_disability,discrim_faith,belong_local,accept_local,wealth,future_options,future_interest,future_support,climate,social_along,social_time,social_support,social_hard,bully_physical,bully_other,bully_cyber,peer_talk,peer_talk_listen,peer_talk_helpful,peer_talk_if,accept_peer,year_group,fsm,sen,ethnicity,english_additional,school,msoa,autonomy_score,life_satisfaction_score,optimism_score,wellbeing_score,esteem_score,stress_score,appearance_score,negative_score,lonely_score,support_score,sleep_score,physical_score,free_like_score,media_score,places_score,staff_talk_score,home_talk_score,peer_talk_score,talk_score,accept_score,school_belong_score,staff_relationship_score,home_relationship_score,home_happy_score,local_env_score,discrim_score,belong_local_score,wealth_score,future_score,climate_score,social_score,bully_score,gender_lab,transgender_lab,sexual_orientation_lab,neurodivergent_lab,birth_parent1_lab,birth_parent2_lab,birth_you_lab,birth_you_age_lab,autonomy_pressure_lab,autonomy_express_lab,autonomy_decide_lab,autonomy_told_lab,autonomy_myself_lab,autonomy_choice_lab,life_satisfaction_lab,optimism_future_lab,optimism_best_lab,optimism_good_lab,optimism_work_lab,wellbeing_optimistic_lab,wellbeing_useful_lab,wellbeing_relaxed_lab,wellbeing_problems_lab,wellbeing_thinking_lab,wellbeing_close_lab,wellbeing_mind_lab,esteem_satisfied_lab,esteem_qualities_lab,esteem_well_lab,esteem_value_lab,esteem_good_lab,stress_control_lab,stress_overcome_lab,stress_confident_lab,stress_way_lab,appearance_happy_lab,appearance_feel_lab,negative_lonely_lab,negative_unhappy_lab,negative_like_lab,negative_cry_lab,negative_school_lab,negative_worry_lab,negative_sleep_lab,negative_wake_lab,negative_shy_lab,negative_scared_lab,lonely_lab,support_ways_lab,support_look_lab,sleep_lab,physical_days_lab,physical_hours_lab,free_like_lab,media_hours_lab,places_freq_lab,places_barriers___1_lab,places_barriers___2_lab,places_barriers___3_lab,places_barriers___4_lab,places_barriers___5_lab,places_barriers___6_lab,places_barriers___7_lab,places_barriers___8_lab,places_barriers___9_lab,school_belong_lab,staff_interest_lab,staff_believe_lab,staff_best_lab,staff_listen_lab,staff_talk_lab,staff_talk_listen_lab,staff_talk_helpful_lab,staff_talk_if_lab,accept_staff_lab,home_interest_lab,home_believe_lab,home_best_lab,home_listen_lab,home_talk_lab,home_talk_listen_lab,home_talk_helpful_lab,home_talk_if_lab,accept_home_lab,home_happy_lab,young_carer_lab,care_experience_lab,local_safe_lab,local_support_lab,local_trust_lab,local_neighbours_lab,local_places_lab,discrim_race_lab,discrim_gender_lab,discrim_orientation_lab,discrim_disability_lab,discrim_faith_lab,belong_local_lab,accept_local_lab,wealth_lab,future_options_lab,future_interest_lab,future_support_lab,climate_lab,social_along_lab,social_time_lab,social_support_lab,social_hard_lab,bully_physical_lab,bully_other_lab,bully_cyber_lab,peer_talk_lab,peer_talk_listen_lab,peer_talk_helpful_lab,peer_talk_if_lab,accept_peer_lab,year_group_lab,fsm_lab,sen_lab,ethnicity_lab,english_additional_lab,school_lab
4.0,2.0,6.0,3.0,2.0,,2.0,1.0,2.0,5.0,2.0,,3.0,4.0,1.0,5.0,5.0,4.0,4.0,3.0,5.0,,4.0,5.0,5.0,5.0,2.0,3.0,2.0,,,1.0,5.0,4.0,4.0,6,1.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,5.0,4.0,4.0,0.0,,30.0,1.0,5.0,7.0,9.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,4.0,4.0,1.0,0.0,,,2.0,3.0,1.0,1.0,5.0,,1.0,3.0,2.0,,3.0,3.0,0.0,1.0,1.0,1.0,2.0,,3.0,1.0,4.0,1.0,2.0,5.0,,1.0,4.0,3.0,5.0,,,5.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,,1.0,10.0,0.0,0.0,1.0,,5,Torridge 001,,1.0,18.0,,,10.0,6.0,7.0,5.0,2.0,0.0,,5.0,4.0,1.0,2.0,2.75,3.25,8.0,8.0,3.0,13.0,,3.0,,1.0,,,,,13.0,7.0,I describe myself in another way,No,Prefer not to say,Unsure,No,,No,Under 1 year old,2,5 - Completely true,2,,3,4,1,Always,Very much like me,Mostly like me,Mostly like me,Some of the time,All of the time,,Often,All of the time,All of the time,All of the time,Agree,Disagree,Agree,,,Never,Very Often,Fairly Often,Fairly Often,6,Strongly agree,Always,Always,Sometimes,Never,Sometimes,Always,Sometimes,Always,Always,Never,Never,Strongly disagree,Strongly disagree,No,,Around 30 minutes,Almost always,3 to 4 hours,None ,Yes,No,No,No,No,Yes,No,Yes,No,Somewhat,4,4,4,1 - Never,No,,,Uncomfortable,Mostly,1 - Never,1 - Never,5 - Always,,Yes,Mostly,Somewhat helpful,,Mostly,3,No,Yes,Very safe,Strongly agree,Agree,,Neither agree nor disagree,Often or always,Hardly ever,Often or always,Some of the time,Never,,Not at all,Don't know,A lot,Unsure,,,A lot,Quite a bit,A little,A little,4+ times in last 6 months,1-3 times in last 6 months,4+ times in last 6 months,Yes,Fully,Somewhat helpful,,Not at all,Year 10,Non-FSM,Non-SEN,Ethnic minority,,School E
,2.0,1.0,3.0,3.0,2.0,3.0,8.0,4.0,2.0,5.0,1.0,4.0,5.0,8.0,3.0,4.0,3.0,3.0,4.0,1.0,,5.0,5.0,,3.0,3.0,,4.0,3.0,3.0,4.0,5.0,2.0,5.0,4,3.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,30.0,3.0,3.0,6.0,8.0,6.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,5.0,4.0,0.0,,,,1.0,1.0,2.0,3.0,1.0,0.0,,,,2.0,0.0,1.0,0.0,2.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,1.0,4.0,2.0,3.0,5.0,1.0,2.0,3.0,2.0,5.0,1.0,4.0,2.0,0.0,,,1.0,2.0,10.0,0.0,0.0,1.0,0.0,4,,23.0,8.0,13.0,,,6.0,4.0,10.0,3.0,4.0,1.0,90.0,3.0,6.0,1.0,,,1.0,,6.0,1.0,17.0,7.0,0.0,9.666666666666664,1.0,2.0,,,1.0,12.0,8.0,,No,Bi/pansexual,Unsure,I don't know,No,I don't know,7 years old,4,2,5 - Completely true,1 - Completely not true,4,5 - Completely true,8,Often,Mostly like me,Somewhat like me,Somewhat like me,Often,None of the time,,All of the time,All of the time,,Some of the time,Disagree,,Strongly disagree,Disagree,Disagree,Fairly Often,Very Often,Almost Never,Very Often,4,Disagree,Sometimes,Never,Always,Sometimes,Always,Sometimes,Never,Never,Sometimes,Always,Occasionally,Disagree,Disagree,Yes,3 days,Around 30 minutes,Sometimes,1 to 2 hours,None ,No,Yes,No,Yes,Yes,No,No,No,Yes,Not at all,5 - Always,3,5 - Always,4,No,,,,Not at all,1 - Never,2,3,1 - Never,No,,,,Slightly,0 - Very unhappy,Yes,No,Fairly safe,Strongly disagree,Strongly disagree,Disagree,Disagree,Occasionally,Hardly ever,Never,Hardly ever,Occasionally,Disagree,Not at all,Don't know,Quite a few,Quite interested,Unsure,Often,A little,Somewhat,A little,A lot,Not at all,A few times a week,1-3 times in last 6 months,No,,,Very uncomfortable,Slightly,Year 10,Non-FSM,Non-SEN,Ethnic minority,No,School D
2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,3.0,,3.0,8.0,2.0,2.0,1.0,3.0,4.0,4.0,2.0,,1.0,1.0,2.0,,3.0,3.0,2.0,,3.0,5.0,3.0,4.0,4,3.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,5.0,4.0,4.0,0.0,1.0,90.0,4.0,7.0,3.0,6.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,5.0,5.0,3.0,4.0,0.0,,,4.0,1.0,2.0,2.0,3.0,4.0,0.0,,,,1.0,4.0,1.0,1.0,1.0,,4.0,5.0,3.0,3.0,4.0,,1.0,4.0,1.0,1.0,2.0,,5.0,1.0,1.0,2.0,5.0,3.0,1.0,2.0,3.0,1.0,0.0,,,4.0,1.0,10.0,0.0,0.0,2.0,0.0,5,North Devon 007,,8.0,8.0,,,7.0,4.0,10.0,5.0,2.0,0.0,90.0,2.0,2.0,2.0,4.0,,4.0,,4.0,4.0,17.0,11.0,4.0,,1.0,4.0,0.0,,1.0,11.0,9.0,Boy,Prefer not to say,I describe myself in another way,Yes,Yes,Yes,Yes,Under 1 year old,5 - Completely true,4,3,3,,3,8,Sometimes,A little like me,Not at all like me,Somewhat like me,Often,Often,Rarely,,None of the time,None of the time,Rarely,,Disagree,Disagree,Agree,,Sometimes,Very Often,Sometimes,Fairly Often,4,Disagree,Never,Always,Always,Never,Never,Sometimes,Sometimes,Always,Always,Never,Never,Strongly disagree,Strongly disagree,No,1 day,Around 1.5 hours,Not often,5 to 6 hours,Limited,No,No,Yes,No,No,Yes,No,Yes,No,Quite a bit,5 - Always,5 - Always,3,4,No,,,Very comfortable,Not at all,2,2,3,4,No,,,,Not at all,4,Yes,Yes,Very safe,,Disagree,Strongly disagree,Neither agree nor disagree,Occasionally,Hardly ever,,Often or always,Hardly ever,Strongly agree,Not at all,Poorer,,Unsure,Not at all,Often,A little,A lot,Somewhat,Not at all,1-3 times in last 6 months,4+ times in last 6 months,Not at all,No,,,Very comfortable,Not at all,Year 10,Non-FSM,Non-SEN,White British,No,School E
2.0,5.0,5.0,,2.0,2.0,,3.0,1.0,2.0,,,3.0,3.0,4.0,4.0,1.0,5.0,1.0,2.0,1.0,4.0,,3.0,3.0,2.0,4.0,4.0,2.0,4.0,,5.0,,4.0,2.0,0,5.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,5.0,1.0,3.0,0.0,2.0,30.0,2.0,3.0,5.0,6.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,1.0,1.0,0.0,,,4.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,,2.0,9.0,0.0,0.0,5.0,2.0,2.0,,2.0,4.0,5.0,,2.0,2.0,2.0,2.0,4.0,3.0,4.0,1.0,3.0,1.0,4.0,2.0,5.0,1.0,3.0,4.0,0.0,,,2.0,,10.0,0.0,0.0,2.0,0.0,7,North Devon 006,,4.0,11.0,,,,0.0,11.0,5.0,6.0,0.0,60.0,4.0,6.0,3.0,4.0,1.0,2.0,7.0,,2.0,8.0,14.0,9.0,,1.0,3.0,,9.0,3.0,12.0,7.0,Boy,Not sure,Currently unsure,,No,No,,2 years old,1 - Completely not true,2,,,3,3,4,Very often,Not at all like me,Very much like me,Not at all like me,Rarely,None of the time,Often,,Some of the time,Some of the time,Rarely,Strongly disagree,Strongly disagree,Agree,Strongly disagree,,Very Often,,Fairly Often,Almost Never,0 - Very unhappy,Prefer not to say,Always,Always,Never,Sometimes,Never,Never,Always,Sometimes,Never,Sometimes,Never,Strongly agree,Disagree,No,2 days,Around 30 minutes,Often,1 to 2 hours,Several,No,Yes,No,Yes,No,No,No,No,Yes,A little,5 - Always,1 - Never,1 - Never,1 - Never,No,,,Very comfortable,Slightly,4,4,4,2,Yes,Not at all,Not helpful,,Slightly,9,No,No,Don't know,Agree,Agree,,Agree,Hardly ever,Never,,Some of the time,Some of the time,Agree,Slightly,Don't know,A lot,Very interested,Not at all,Rarely,Not at all,Quite a bit,A little,A lot,Not at all,4+ times in last 6 months,A few times a week,No,,,Uncomfortable,,Year 10,Non-FSM,Non-SEN,White British,No,School G
5.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,5.0,2.0,4.0,,4.0,2.0,,2.0,4.0,2.0,1.0,3.0,4.0,,2.0,5.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,3.0,5.0,1,4.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,0.0,2.0,90.0,3.0,7.0,,3.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,5.0,3.0,4.0,0.0,,,2.0,4.0,5.0,1.0,2.0,,0.0,,,2.0,4.0,9.0,0.0,2.0,3.0,2.0,2.0,,4.0,1.0,3.0,,1.0,3.0,,3.0,3.0,3.0,2.0,3.0,3.0,,2.0,5.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,,1.0,,0.0,0.0,2.0,1.0,2,Torridge 003,,,9.0,,16.0,8.0,1.0,12.0,2.0,4.0,0.0,180.0,3.0,2.0,2.0,2.0,2.0,2.25,6.25,12.0,3.0,15.0,,9.0,,1.0,,1.0,9.0,3.0,,6.0,Currently unsure,Prefer not to say,I describe myself in another way,Yes,Yes,I don't know,I don't know,1 year old,5 - Completely true,2,4,,4,2,,Sometimes,Mostly like me,A little like me,Not at all like me,Some of the time,Often,,Rarely,All of the time,Often,Some of the time,Agree,Agree,Strongly agree,Disagree,Strongly agree,Fairly Often,Fairly Often,Sometimes,Very Often,1,Strongly disagree,Never,Never,Never,Always,Never,Always,Sometimes,Sometimes,Always,Never,Some of the time,Strongly disagree,Agree,No,2 days,Around 1.5 hours,Sometimes,5 to 6 hours,Limited,Yes,No,Yes,No,No,No,Yes,No,Yes,Somewhat,3,5 - Always,3,4,No,,,Uncomfortable,Fully,5 - Always,1 - Never,2,,No,,,Uncomfortable,Fully,9,No,Unsure,Fairly unsafe,Agree,Agree,,Disagree,Often or always,Occasionally,,Often or always,Occasionally,,Mostly,About the same,A lot,A little interested,Mostly,Rarely,,A little,A lot,Not at all,A few times a week,Not at all,A few times a week,Yes,Slightly,Somewhat helpful,,Not at all,,Non-FSM,Non-SEN,White British,Yes,School B
5.0,1.0,6.0,1.0,3.0,3.0,3.0,11.0,4.0,4.0,5.0,,3.0,5.0,,4.0,4.0,4.0,1.0,5.0,3.0,1.0,2.0,5.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,5.0,5.0,4.0,5.0,9,2.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,3.0,0.0,7.0,30.0,5.0,7.0,,7.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,5.0,4.0,5.0,4.0,1.0,2.0,1.0,,1.0,4.0,1.0,4.0,3.0,0.0,,,4.0,2.0,0.0,0.0,2.0,4.0,2.0,5.0,,3.0,4.0,1.0,3.0,3.0,5.0,3.0,2.0,1.0,2.0,2.0,5.0,4.0,3.0,3.0,5.0,2.0,2.0,1.0,4.0,1.0,3.0,2.0,,4.0,8.0,0.0,1.0,,,3,Torridge 002,,,13.0,18.0,13.0,7.0,9.0,11.0,4.0,4.0,0.0,210.0,1.0,2.0,1.0,1.5,4.0,2.75,8.25,9.0,3.0,18.0,12.0,0.0,,1.0,2.0,0.0,,4.0,13.0,8.0,Currently unsure,Yes,Prefer not to say,Yes,I don't know,I don't know,I don't know,10 years old,4,4,5 - Completely true,,3,5 - Completely true,,Very often,Mostly like me,Mostly like me,Not at all like me,All of the time,Some of the time,None of the time,Rarely,All of the time,None of the time,None of the time,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Very Often,Very Often,Fairly Often,Very Often,9,Agree,Always,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Never,Never,Sometimes,Hardly ever,Disagree,Disagree,No,7 days,Around 30 minutes,Almost never,5 to 6 hours,None ,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Somewhat,5 - Always,4,5 - Always,4,Yes,Slightly,Not helpful,,Not at all,4,1 - Never,4,3,No,,,Very comfortable,Slightly,0 - Very unhappy,No,Unsure,Very unsafe,Agree,Strongly disagree,,Neither agree nor disagree,Hardly ever,Often or always,Occasionally,Occasionally,Never,Disagree,Slightly,Richer,Quite a few,A little interested,Unsure,Never,Somewhat,Somewhat,A lot,A little,1-3 times in last 6 months,Not at all,A few times a week,Yes,Mostly,Somewhat helpful,,Fully,Year 8,Non-FSM,SEN,,,School C
,3.0,4.0,1.0,3.0,3.0,3.0,15.0,5.0,3.0,1.0,5.0,2.0,5.0,,5.0,1.0,3.0,2.0,5.0,5.0,1.0,3.0,3.0,1.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,,3.0,4.0,1.0,1.0,120.0,2.0,2.0,9.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,2.0,5.0,1.0,1.0,2.0,,2.0,4.0,2.0,5.0,3.0,1.0,1.0,2.0,,4.0,10.0,,1.0,2.0,1.0,5.0,1.0,,1.0,1.0,1.0,4.0,5.0,4.0,1.0,2.0,1.0,,3.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,,,,,4.0,8.0,1.0,0.0,2.0,0.0,7,Torridge 007,13.0,,11.0,22.0,9.0,8.0,0.0,10.0,,3.0,1.0,120.0,4.0,7.0,4.0,1.75,1.75,,,11.0,1.0,13.0,14.0,10.0,,1.0,1.0,0.0,,2.0,12.0,8.0,,Prefer not to say,I describe myself in another way,Yes,I don't know,I don't know,I don't know,14 years old,5 - Completely true,3,1 - Completely not true,5 - Completely true,2,5 - Completely true,,Always,Not at all like me,Somewhat like me,A little like me,All of the time,All of the time,None of the time,Some of the time,Some of the time,None of the time,Often,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Very Often,Fairly Often,Very Often,Fairly Often,0 - Very unhappy,Agree,Never,Never,Always,Never,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,,Disagree,Strongly disagree,Yes,1 day,Around 2 hours or more,Often,Less than 1 hour,Lots,Yes,No,No,Yes,No,No,No,No,Yes,Not at all,5 - Always,1 - Never,2,5 - Always,Yes,Not at all,Somewhat helpful,,Slightly,4,2,5 - Always,3,Yes,Not at all,Somewhat helpful,,Fully,10 - Very happy,,Yes,Fairly safe,Strongly agree,Strongly disagree,Strongly agree,,Often or always,Often or always,Often or always,Hardly ever,Never,Strongly disagree,Not at all,Poorer,Not many,,Mostly,Sometimes,A little,Quite a bit,Quite a bit,A little,4+ times in last 6 months,1-3 times in last 6 months,1-3 times in last 6 months,,,,,Fully,Year 8,FSM,Non-SEN,White British,No,School G
1.0,2.0,5.0,1.0,1.0,2.0,3.0,7.0,4.0,2.0,2.0,2.0,5.0,4.0,6.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,5.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,7,5.0,3.0,3.0,,2.0,1.0,3.0,2.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,5.0,30.0,5.0,6.0,7.0,1.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,5.0,4.0,3.0,,,,,3.0,5.0,3.0,1.0,1.0,0.0,,,4.0,2.0,3.0,1.0,,2.0,5.0,5.0,,2.0,2.0,3.0,1.0,1.0,3.0,2.0,,4.0,1.0,4.0,2.0,1.0,4.0,4.0,5.0,2.0,3.0,1.0,4.0,,,,,1.0,8.0,1.0,1.0,1.0,1.0,7,North Devon 002,19.0,6.0,15.0,19.0,16.0,5.0,7.0,,5.0,7.0,1.0,150.0,1.0,3.0,2.0,,4.0,,,,3.0,15.0,10.0,3.0,,1.0,3.0,,7.0,1.0,15.0,7.0,Girl,No,Currently unsure,Yes,Yes,No,I don't know,6 years old,4,2,2,2,5 - Completely true,4,6,Often,Somewhat like me,Very much like me,Mostly like me,Some of the time,Rarely,Some of the time,Some of the time,All of the time,Rarely,None of the time,Agree,Strongly agree,Agree,Agree,Agree,Sometimes,Fairly Often,Almost Never,Almost Never,7,Prefer not to say,Always,Always,,Sometimes,Never,Always,Sometimes,Sometimes,Never,Sometimes,Never,Agree,Strongly agree,Yes,5 days,Around 30 minutes,Almost never,4 to 5 hours,Limited,No,Yes,No,Yes,No,No,Yes,No,No,Somewhat,3,5 - Always,4,3,,,,,Mostly,5 - Always,3,1 - Never,1 - Never,No,,,Very comfortable,Slightly,3,Yes,,Fairly safe,Strongly disagree,Strongly disagree,,Agree,Some of the time,Occasionally,Often or always,Often or always,Occasionally,Agree,,Don't know,Not many,Very interested,Slightly,Often,Quite a bit,Quite a bit,A lot,A little,4+ times in last 6 months,Not at all,A few times a week,,,,,Not at all,Year 8,FSM,SEN,Ethnic minority,Yes,School G
3.0,3.0,1.0,1.0,3.0,2.0,2.0,13.0,5.0,5.0,2.0,5.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,1.0,1.0,2.0,,2.0,1.0,3.0,5.0,,10,5.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,0.0,1.0,120.0,1.0,3.0,4.0,,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,,3.0,,1.0,5.0,2.0,,4.0,1.0,2.0,1.0,,3.0,2.0,1.0,0.0,2.0,4.0,1.0,3.0,3.0,1.0,5.0,2.0,1.0,4.0,4.0,,4.0,2.0,5.0,,4.0,2.0,4.0,,,4.0,3.0,1.0,,,,,3.0,8.0,0.0,0.0,1.0,0.0,2,North Devon 010,12.0,3.0,8.0,31.0,,,10.0,7.0,4.0,4.0,0.0,120.0,5.0,6.0,3.0,,1.5,,,,5.0,6.0,,2.0,16.666666666666664,1.0,1.0,,,4.0,,7.0,Non-binary,Prefer not to say,Bi/pansexual,Yes,I don't know,No,No,12 years old,5 - Completely true,5 - Completely true,2,5 - Completely true,2,1 - Completely not true,3,Often,Not at all like me,A little like me,A little like me,All of the time,All of the time,All of the time,All of the time,Often,Rarely,All of the time,Strongly agree,Strongly agree,Agree,,Agree,Never,Sometimes,Very Often,,10 - Very happy,Prefer not to say,Sometimes,Always,Sometimes,Never,Sometimes,Always,Always,Sometimes,Always,Sometimes,Hardly ever,Disagree,Disagree,No,1 day,Around 2 hours or more,Almost always,1 to 2 hours,Several,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,A lot,1 - Never,1 - Never,1 - Never,3,Yes,,Very helpful,,Not at all,5 - Always,2,,4,Yes,Slightly,Not helpful,,Mostly,2,Yes,No,Fairly safe,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Often or always,Never,Some of the time,Often or always,Hardly ever,Strongly disagree,,Don't know,Quite a few,Unsure,,Never,A little,Quite a bit,,,A few times a week,4+ times in last 6 months,Not at all,,,,,Mostly,Year 8,Non-FSM,Non-SEN,Ethnic minority,No,School B
1.0,3.0,1.0,3.0,2.0,,2.0,13.0,4.0,2.0,2.0,5.0,2.0,2.0,3.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,3.0,,3.0,,2.0,4.0,5.0,5.0,1.0,3.0,0,,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,5.0,30.0,1.0,3.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,4.0,2.0,2.0,1.0,4.0,3.0,,4.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,4.0,8.0,0.0,1.0,4.0,3.0,3.0,,3.0,5.0,1.0,3.0,5.0,3.0,2.0,2.0,3.0,,4.0,5.0,3.0,5.0,4.0,3.0,5.0,1.0,2.0,2.0,0.0,,,2.0,1.0,8.0,0.0,1.0,1.0,0.0,3,North Devon 001,11.0,3.0,13.0,30.0,,2.0,0.0,13.0,1.0,5.0,0.0,150.0,5.0,6.0,4.0,4.0,1.5,2.0,7.5,11.0,5.0,12.0,7.0,8.0,,1.0,3.0,1.0,,3.0,17.0,10.0,Girl,Prefer not to say,Bi/pansexual,Unsure,No,,No,12 years old,4,2,2,5 - Completely true,2,2,3,Always,Not at all like me,A little like me,Very much like me,All of the time,All of the time,All of the time,Some of the time,All of the time,Often,Some of the time,,Disagree,,Agree,Strongly disagree,Very Often,Very Often,Never,Sometimes,0 - Very unhappy,,Sometimes,Never,Sometimes,Always,Never,Sometimes,Never,Sometimes,Sometimes,Never,Often or always,Strongly disagree,Strongly agree,No,5 days,Around 30 minutes,Almost always,1 to 2 hours,Lots,No,No,No,No,No,No,Yes,Yes,Yes,A lot,4,4,2,2,Yes,Fully,Very helpful,,Fully,3,2,1 - Never,1 - Never,Yes,Slightly,Not helpful,,Fully,8,No,Yes,Very unsafe,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,Never,Often or always,Occasionally,Never,Occasionally,Agree,Slightly,About the same,,Very interested,Unsure,Rarely,A lot,Quite a bit,Somewhat,A lot,Not at all,1-3 times in last 6 months,1-3 times in last 6 months,No,,,Uncomfortable,Not at all,Year 8,Non-FSM,SEN,Ethnic minority,No,School C
